 5.0	83.47633610825106	53.2106181950469	136.68695430329797
 10.0	1075.209436273589	798.7297262476277	1873.9391625212168
 15.0	2466.069710678606	1912.761680263285	4378.831390941891
 20.0	3728.6413713530987	3114.770213260151	6843.41158461325
 25.0	4823.151145018459	4285.245354295093	9108.396499313552
 30.0	5861.693109432805	5379.248058340965	11240.94116777377
 35.0	6899.157550905738	6444.2844103735715	13343.44196127931
 40.0	7999.403549641559	7590.578668929167	15589.982218570727
 45.0	9166.234127786429	8763.272239549371	17929.5063673358
 50.0	10430.73899138522	10037.157891108694	20467.896882493915
 55.00000000000001	11727.094165458117	11384.473561940158	23111.567727398273
 60.0	13031.530761591608	12757.839934472831	25789.37069606444
 65.0	14347.978569336725	14153.707521370294	28501.68609070702
 70.0	15710.189410240657	15521.93981400565	31232.129224246306
 75.0	17035.067250409767	16837.817168428843	33872.884418838614
 80.0	18343.085025730892	18205.162089230093	36548.247114960985
 85.0	19602.994570903073	19477.589915633387	39080.58448653646
 90.0	20875.168862496623	20725.995318813428	41601.16418131005
 95.0	22130.38801368854	21955.670837923622	44086.058851612164
 100.0	23360.253683906038	23167.472152946855	46527.72583685289

